timestamp,datetime_utc,xrp_spread,bch_spread
1644368400000,2022-02-09T01:00:00+00:00,4245.083410225379,-248.49623629421694
1644372000000,2022-02-09T02:00:00+00:00,5179.936819371782,-492.9400438341472
1644375600000,2022-02-09T03:00:00+00:00,5440.900113032265,-466.4340016045535
1644379200000,2022-02-09T04:00:00+00:00,5179.0262313442945,-1472.401973936554
1644382800000,2022-02-09T05:00:00+00:00,5357.504394155498,-999.3545429844744
1644386400000,2022-02-09T06:00:00+00:00,5188.300598287722,-1173.6376236412834
1644390000000,2022-02-09T07:00:00+00:00,5336.4394850968165,-1249.490493150166
1644393600000,2022-02-09T08:00:00+00:00,5464.236936624016,-1512.2735751824148
1644397200000,2022-02-09T09:00:00+00:00,5309.858325993671,-1315.7101317717534
1644400800000,2022-02-09T10:00:00+00:00,5283.841996133291,-1173.9850559687984
1644404400000,2022-02-09T11:00:00+00:00,5441.338376143867,-1032.0267479031172
1644408000000,2022-02-09T12:00:00+00:00,4382.660677398308,-1304.6439663318379
1644411600000,2022-02-09T13:00:00+00:00,4504.349097670107,-1463.9125464629033
1644415200000,2022-02-09T14:00:00+00:00,4348.82747379598,-1657.3376208904301
1644418800000,2022-02-09T15:00:00+00:00,4345.568482448536,-1748.8744793161677
1644422400000,2022-02-09T16:00:00+00:00,4292.086971588687,-1822.4022730220968
1644426000000,2022-02-09T17:00:00+00:00,4236.519338178856,-1335.4095253481064
1644429600000,2022-02-09T18:00:00+00:00,3916.150691878509,-1228.95877006941
1644433200000,2022-02-09T19:00:00+00:00,4615.8136549720875,-1131.617681807882
1644436800000,2022-02-09T20:00:00+00:00,4706.066184726726,-1027.218285480667
1644440400000,2022-02-09T21:00:00+00:00,4607.830256773246,-1401.6409438416158
1644444000000,2022-02-09T22:00:00+00:00,4493.161727725143,-1449.454840694576
1644447600000,2022-02-09T23:00:00+00:00,5482.122259598153,-1474.06481092357
1644451200000,2022-02-10T00:00:00+00:00,5033.74281195565,-1447.2055973487077
1644454800000,2022-02-10T01:00:00+00:00,5228.796685167705,-1097.6720632495853
1644458400000,2022-02-10T02:00:00+00:00,5528.847290147038,-881.0548448208647
1644462000000,2022-02-10T03:00:00+00:00,5235.399372082538,-1140.4228199037098
1644465600000,2022-02-10T04:00:00+00:00,4786.20075297627,-1157.652729215246
1644469200000,2022-02-10T05:00:00+00:00,4985.432788999526,-1347.010432232717
1644472800000,2022-02-10T06:00:00+00:00,5061.35306941624,-1523.2871688235537
1644476400000,2022-02-10T07:00:00+00:00,5116.897522179868,-1723.5288593824444
1644480000000,2022-02-10T08:00:00+00:00,5133.207992955118,-1992.2898853510997
1644483600000,2022-02-10T09:00:00+00:00,5107.412332704473,-2344.7439622055535
1644487200000,2022-02-10T10:00:00+00:00,4866.289813192074,-2316.1774963046773
1644490800000,2022-02-10T11:00:00+00:00,5203.154663624635,-2461.5756825354547
1644494400000,2022-02-10T12:00:00+00:00,5348.008595462808,-2777.611029028376
1644498000000,2022-02-10T13:00:00+00:00,5524.727126982572,-2364.708617088072
1644501600000,2022-02-10T14:00:00+00:00,5774.839426470695,-2675.503175780417
1644505200000,2022-02-10T15:00:00+00:00,6306.185553258641,-2070.671755911484
1644508800000,2022-02-10T16:00:00+00:00,6598.810173424696,-1521.9146565668052
1644512400000,2022-02-10T17:00:00+00:00,6455.709725605557,-1283.2539324345416
1644516000000,2022-02-10T18:00:00+00:00,6650.16171147862,-1072.9364107939982
1644519600000,2022-02-10T19:00:00+00:00,6411.387131220523,-1443.6781041037393
1644523200000,2022-02-10T20:00:00+00:00,6383.23989547963,-1626.2509140706097
1644526800000,2022-02-10T21:00:00+00:00,6174.480456313046,-1977.5762917099564
1644530400000,2022-02-10T22:00:00+00:00,6209.5722620698,-1998.2442667928044
1644534000000,2022-02-10T23:00:00+00:00,6609.48203427493,-1670.217683183313
1644537600000,2022-02-11T00:00:00+00:00,6414.657472734994,-1351.5240300001387
1644541200000,2022-02-11T01:00:00+00:00,6402.12905670116,-1606.7089230507481
1644544800000,2022-02-11T02:00:00+00:00,6399.331509111522,-1609.5714609522183
1644548400000,2022-02-11T03:00:00+00:00,6598.893848507607,-1667.8246322975028
1644552000000,2022-02-11T04:00:00+00:00,6396.650952516065,-1846.182638526785
1644555600000,2022-02-11T05:00:00+00:00,7137.663624950699,-1560.2046945903858
1644559200000,2022-02-11T06:00:00+00:00,6625.114965936475,-1709.2841490841893
1644562800000,2022-02-11T07:00:00+00:00,6735.696748737108,-1700.787472035372
1644566400000,2022-02-11T08:00:00+00:00,7061.622616298155,-1172.8859642288298
1644570000000,2022-02-11T09:00:00+00:00,6891.452626540384,-1056.5693467220408
1644573600000,2022-02-11T10:00:00+00:00,6847.597974942291,-1141.603787705768
1644577200000,2022-02-11T11:00:00+00:00,6921.764051580038,-1063.9823380658272
1644580800000,2022-02-11T12:00:00+00:00,7052.968060762483,-1155.466929280039
1644584400000,2022-02-11T13:00:00+00:00,6966.553735493333,-1266.3321850844877
1644588000000,2022-02-11T14:00:00+00:00,6808.914518117337,-1243.1267479031158
1644591600000,2022-02-11T15:00:00+00:00,7034.824269132667,-1040.9400410832895
1644595200000,2022-02-11T16:00:00+00:00,7337.728123626563,-1024.93369701731
1644598800000,2022-02-11T17:00:00+00:00,7242.984838442004,-950.3418548525078
1644602400000,2022-02-11T18:00:00+00:00,7220.876724014677,-789.1566613409377
1644606000000,2022-02-11T19:00:00+00:00,7449.32619885126,-703.4282625867854
1644609600000,2022-02-11T20:00:00+00:00,7877.8108444450845,-137.30560697669716
1644613200000,2022-02-11T21:00:00+00:00,7953.136690816318,-26.55515353439114
1644616800000,2022-02-11T22:00:00+00:00,8499.156214036782,-57.25394618881546
1644620400000,2022-02-11T23:00:00+00:00,8447.684006373129,-144.49080323912494
1644624000000,2022-02-12T00:00:00+00:00,7815.833907839049,1.144241417387093
1644627600000,2022-02-12T01:00:00+00:00,7764.6925099934815,-16.401075304507685
1644631200000,2022-02-12T02:00:00+00:00,7716.012731784067,-334.11406527286454
1644634800000,2022-02-12T03:00:00+00:00,7796.703545840108,-328.6179932722662
1644638400000,2022-02-12T04:00:00+00:00,7780.706776636514,-452.6781137317448
1644642000000,2022-02-12T05:00:00+00:00,7815.727446246245,-379.2554553707887
1644645600000,2022-02-12T06:00:00+00:00,8149.841110381589,-51.31920336870098
1644649200000,2022-02-12T07:00:00+00:00,7969.486730724282,26.48532830348995
1644652800000,2022-02-12T08:00:00+00:00,7759.879645433983,22.31010227005754
1644656400000,2022-02-12T09:00:00+00:00,7811.416858218756,-19.50983681249636
1644660000000,2022-02-12T10:00:00+00:00,7872.447726662947,225.79590220526734
1644663600000,2022-02-12T11:00:00+00:00,7846.234686225092,-10.184459173142386
1644667200000,2022-02-12T12:00:00+00:00,7662.933849212932,154.80013204106217
1644670800000,2022-02-12T13:00:00+00:00,7834.3688440918195,178.35300154994184
1644674400000,2022-02-12T14:00:00+00:00,7479.766604996126,-81.88536605775153
